name,date,value,z_score
SSR RSI Smoothed,2013-12-29,,
SSR RSI Smoothed,2013-12-30,,
SSR RSI Smoothed,2013-12-31,,
SSR RSI Smoothed,2014-01-01,,
SSR RSI Smoothed,2014-01-02,,
SSR RSI Smoothed,2014-01-03,,
SSR RSI Smoothed,2014-01-04,,
SSR RSI Smoothed,2014-01-05,,
SSR RSI Smoothed,2014-01-06,,
SSR RSI Smoothed,2014-01-07,,
SSR RSI Smoothed,2014-01-08,,
SSR RSI Smoothed,2014-01-09,,
SSR RSI Smoothed,2014-01-10,,
SSR RSI Smoothed,2014-01-11,,
SSR RSI Smoothed,2014-01-12,,
SSR RSI Smoothed,2014-01-13,,
SSR RSI Smoothed,2014-01-14,,
SSR RSI Smoothed,2014-01-15,,
SSR RSI Smoothed,2014-01-16,,
SSR RSI Smoothed,2014-01-17,,
SSR RSI Smoothed,2014-01-18,,
SSR RSI Smoothed,2014-01-19,,
SSR RSI Smoothed,2014-01-20,,
SSR RSI Smoothed,2014-01-21,,
SSR RSI Smoothed,2014-01-22,,
SSR RSI Smoothed,2014-01-23,,
SSR RSI Smoothed,2014-01-24,,
SSR RSI Smoothed,2014-01-25,,
SSR RSI Smoothed,2014-01-26,,
SSR RSI Smoothed,2014-01-27,,
SSR RSI Smoothed,2014-01-28,,
SSR RSI Smoothed,2014-01-29,,
SSR RSI Smoothed,2014-01-30,,
SSR RSI Smoothed,2014-01-31,,
SSR RSI Smoothed,2014-02-01,,
SSR RSI Smoothed,2014-02-02,,
SSR RSI Smoothed,2014-02-03,,
SSR RSI Smoothed,2014-02-04,,
SSR RSI Smoothed,2014-02-05,,
SSR RSI Smoothed,2014-02-06,,
SSR RSI Smoothed,2014-02-07,,
SSR RSI Smoothed,2014-02-08,,
SSR RSI Smoothed,2014-02-09,,
SSR RSI Smoothed,2014-02-10,,
SSR RSI Smoothed,2014-02-11,,
SSR RSI Smoothed,2014-02-12,,
SSR RSI Smoothed,2014-02-13,,
SSR RSI Smoothed,2014-02-14,,
SSR RSI Smoothed,2014-02-15,,
SSR RSI Smoothed,2014-02-16,,
SSR RSI Smoothed,2014-02-17,,
SSR RSI Smoothed,2014-02-18,,
SSR RSI Smoothed,2014-02-19,,
SSR RSI Smoothed,2014-02-20,,
SSR RSI Smoothed,2014-02-21,,
SSR RSI Smoothed,2014-02-22,,
SSR RSI Smoothed,2014-02-23,,
SSR RSI Smoothed,2014-02-24,,
SSR RSI Smoothed,2014-02-25,,
SSR RSI Smoothed,2014-02-26,,
SSR RSI Smoothed,2014-02-27,,
SSR RSI Smoothed,2014-02-28,,
SSR RSI Smoothed,2014-03-01,,
SSR RSI Smoothed,2014-03-02,,
SSR RSI Smoothed,2014-03-03,,
SSR RSI Smoothed,2014-03-04,,
SSR RSI Smoothed,2014-03-05,,
SSR RSI Smoothed,2014-03-06,,
SSR RSI Smoothed,2014-03-07,,
SSR RSI Smoothed,2014-03-08,,
SSR RSI Smoothed,2014-03-09,,
SSR RSI Smoothed,2014-03-10,,
SSR RSI Smoothed,2014-03-11,,
SSR RSI Smoothed,2014-03-12,,
SSR RSI Smoothed,2014-03-13,,
SSR RSI Smoothed,2014-03-14,,
SSR RSI Smoothed,2014-03-15,,
SSR RSI Smoothed,2014-03-16,,
SSR RSI Smoothed,2014-03-17,,
SSR RSI Smoothed,2014-03-18,,
SSR RSI Smoothed,2014-03-19,,
SSR RSI Smoothed,2014-03-20,,
SSR RSI Smoothed,2014-03-21,,
SSR RSI Smoothed,2014-03-22,,
SSR RSI Smoothed,2014-03-23,,
SSR RSI Smoothed,2014-03-24,,
SSR RSI Smoothed,2014-03-25,,
SSR RSI Smoothed,2014-03-26,,
SSR RSI Smoothed,2014-03-27,,
SSR RSI Smoothed,2014-03-28,,
SSR RSI Smoothed,2014-03-29,,
SSR RSI Smoothed,2014-03-30,,
SSR RSI Smoothed,2014-03-31,,
SSR RSI Smoothed,2014-04-01,,
SSR RSI Smoothed,2014-04-02,,
SSR RSI Smoothed,2014-04-03,,
SSR RSI Smoothed,2014-04-04,,
SSR RSI Smoothed,2014-04-05,,
SSR RSI Smoothed,2014-04-06,,
SSR RSI Smoothed,2014-04-07,,
SSR RSI Smoothed,2014-04-08,,
SSR RSI Smoothed,2014-04-09,,
SSR RSI Smoothed,2014-04-10,,
SSR RSI Smoothed,2014-04-11,,
SSR RSI Smoothed,2014-04-12,,
SSR RSI Smoothed,2014-04-13,,
SSR RSI Smoothed,2014-04-14,,
SSR RSI Smoothed,2014-04-15,,
SSR RSI Smoothed,2014-04-16,,
SSR RSI Smoothed,2014-04-17,,
SSR RSI Smoothed,2014-04-18,,
SSR RSI Smoothed,2014-04-19,,
SSR RSI Smoothed,2014-04-20,,
SSR RSI Smoothed,2014-04-21,,
SSR RSI Smoothed,2014-04-22,,
SSR RSI Smoothed,2014-04-23,,
SSR RSI Smoothed,2014-04-24,,
SSR RSI Smoothed,2014-04-25,,
SSR RSI Smoothed,2014-04-26,,
SSR RSI Smoothed,2014-04-27,,
SSR RSI Smoothed,2014-04-28,,
SSR RSI Smoothed,2014-04-29,,
SSR RSI Smoothed,2014-04-30,,
SSR RSI Smoothed,2014-05-01,,
SSR RSI Smoothed,2014-05-02,,
SSR RSI Smoothed,2014-05-03,,
SSR RSI Smoothed,2014-05-04,,
SSR RSI Smoothed,2014-05-05,,
SSR RSI Smoothed,2014-05-06,,
